symbol_id,timestamp,open,close,high,low,volume,last_tick,asset,return_1,return_5,return_10,return_20,range,body,upper_shadow,lower_shadow,rsi_14,rsi_7,rsi_21,macd,macd_signal,macd_hist,ema_7,dist_ema_7,ema_7_slope,ema_14,dist_ema_14,ema_14_slope,ema_21,dist_ema_21,ema_21_slope,ema_50,dist_ema_50,ema_50_slope,ema_100,dist_ema_100,ema_100_slope,ema_200,dist_ema_200,ema_200_slope,bb_upper,bb_lower,bb_width,bb_pct,atr,atr_pct,adx,plus_di,minus_di,volume_ma,volume_ratio,volatility_5,volatility_10,volatility_20,target_call_1,target_put_1,target_call_5,target_put_5
352,2026-05-22 11:55:00,77068.17,76857.94,77076.49,76849.48,411,1779451199.548,BTCUSD_otc,-0.0026758226750051017,-0.0009343580941695295,-0.0015452689761823457,-0.005686600472201486,0.0029536310757224214,0.9260825514289887,0.03665036782521906,0.03726708074535188,37.887457908643086,37.49860513923548,37.80474940547546,-131.21667011347017,-149.82940958298016,18.61273946950999,76991.8745208309,-0.001739592933208267,-8.992348843356012,77037.17860466041,-0.0023266506887567235,-46.94564097307739,77101.46482898148,-0.0031584980845907255,-66.61072234150197,77397.78744390588,-0.006974972563616657,-89.89188908039068,77768.19568203448,-0.01170472934406472,-81.69079145383148,78177.04424338328,-0.016873293895284653,-60.796569400146836,77392.51645120876,76779.36454879123,0.007977730113733674,0.12815005694176781,177.5073279275532,0.002309550944607066,38.98682556014305,14.883444298002166,26.058890056343465,401.85,1.0227696901826495,0.0024444163374321135,0.001654782804704482,0.0012672305520162808,0,0,0,1
352,2026-05-22 12:00:00,76860.43,76888.65,76970.32,76791.46,407,1779451499.966,BTCUSD_otc,0.000399568346484358,0.0008266825156451052,-0.0012266331770566241,-0.005008174630925288,0.002326221100253426,0.1577770323156955,0.45661411159547627,0.3856088560882692,39.36412234153721,40.1803159600058,38.81829687913817,-132.1083331189584,-146.2851942901758,14.17686117121741,76966.06839062317,-0.001005876904485475,9.133238367474405,77017.37479070568,-0.0016713733888683822,-32.21822217667068,77082.1180263468,-0.002509895048299994,-54.781565765006235,77377.82126963507,-0.006321853750966699,-83.876128724296,77750.77893585557,-0.01108836397082063,-78.81552825673134,78164.22440016555,-0.016319158924103048,-59.55968811258208,77371.67532740951,76761.50467259048,0.007935770166585405,0.20837666709357044,177.60394736129942,0.002309885104775535,38.45220185261564,13.812822662142397,26.517819248351877,402.65,1.010803427293925,0.0023579008213073824,0.0016628514967674231,0.0012764270288029976,0,1,0,1
352,2026-05-22 12:05:00,76888.65,76799.22,76963.98,76758.72,396,1779451799.979,BTCUSD_otc,-0.0011631105501266337,-0.0027011749416255837,-0.002127387268809122,-0.006490991446680194,0.0026726833944406567,0.4356913183277391,0.36699795381451317,0.19731072785726056,36.6328716018898,35.06835187229113,36.975838774300364,-138.43543851505092,-144.71524313515084,6.279804620099924,76924.35629296738,-0.00162674475286858,-45.15257122438925,76988.28748527827,-0.002455795439201348,-55.65712588644237,77056.40002395163,-0.0033375556588640357,-68.71142342273379,77355.13102376704,-0.0071864789886560716,-88.74412367626792,77731.9361846505,-0.011999137425766127,-81.37383462789876,78150.64226683057,-0.017292529243923528,-61.036805643787375,77347.88253950045,76735.12146049956,0.007978740916911541,0.10460608824069158,179.5793796926348,0.00233829692140929,38.12194962268122,12.685100147621245,25.65507004110012,402.6,0.9836065573768048,0.0020408747126113005,0.001695410901558124,0.0012844069322670338,1,0,0,1
352,2026-05-22 12:10:00,76799.22,76864.82,76944.3,76765.68,416,1779452099.868,BTCUSD_otc,0.0008541753418851439,-0.00435086672130347,-0.0015791102817003244,-0.006079525720443568,0.002323819921779689,0.3672601052511783,0.4449669689841397,0.18777292576412224,39.925598732780195,41.443853137445096,39.19855960580959,-136.58191210441873,-143.08857692900443,6.506664824585698,76909.47221972553,-0.0005805815387467069,-117.83692841829907,76971.82515390783,-0.0013901860023958928,-93.02150910158525,77038.98365813785,-0.0022607211293271426,-93.00038492976455,77335.90314048207,-0.006091389915319573,-98.4361188262119,77714.76556713266,-0.010936732047379667,-86.41375869467447,78137.84801541934,-0.01629207929002752,-63.77166329906322,77302.02915496606,76733.95884503395,0.007390511158838475,0.2303608420965924,179.510852571733,0.002335409782677342,37.81528683774212,11.78351814512883,23.831659176971026,402.6,1.0332836562342191,0.001478132586553511,0.0017226937480413912,0.0013006278688507142,0,1,0,1
352,2026-05-22 12:15:00,76869.64,76696.77,76869.64,76651.22,416,1779452398.873,BTCUSD_otc,-0.002186305776816999,-0.004767197198697337,-0.003825367778614863,-0.00787100589817713,0.0028478383118350128,0.7914568262975807,0.0,0.20854317370196146,34.91970483478373,32.04123792407492,35.80221522055892,-146.97892802652495,-143.86664714850855,-3.1122808780164064,76856.29666479415,-0.002075648602871353,-180.22269631372183,76935.1511333868,-0.00309846838376255,-129.60264122136869,77007.87332557986,-0.004039889846906264,-117.94398629978241,77310.83909575728,-0.007942859021316454,-108.98293769577867,77694.60723907064,-0.012843069481003161,-91.97744664130732,78123.50893068881,-0.01826260686721855,-66.79264177368896,77272.36609438238,76702.77490561763,0.007426534243420584,-0.010542483339046699,182.29007738803767,0.002376763420259258,38.10265561289707,10.775017206283897,26.277011664462552,403.45,1.0311067046719467,0.0015515011249049944,0.0018340493962710432,0.0013671926605968907,0,1,0,0
352,2026-05-22 12:20:00,76696.77,76627.59,76696.77,76528.17,393,1779452699.756,BTCUSD_otc,-0.0009019936563170461,-0.002997087874070048,-0.003928645614925563,-0.008483214980746112,0.0022002518936065432,0.41032028469729626,0.0,0.5896797153021107,33.08090558968358,28.892983922394762,34.509761761669324,-158.96839716176328,-146.8869971511595,-12.081400010603772,76799.11999859562,-0.002233489115484126,-192.75452223527827,76894.14298226856,-0.003466492660306128,-143.03562239184976,76973.30211416351,-0.004491324974609624,-128.16271481796866,77284.04501357074,-0.008494056094701939,-113.74243033514358,77673.47818483162,-0.013465190555041584,-94.7174972028588,78108.62416520932,-0.01896121178727653,-68.4200781739637,77246.76280298107,76662.81719701891,0.00762056598624802,-0.06032616164799847,181.31221471746397,0.002366147946418046,38.880135722840485,10.05933463906449,29.379275169564796,404.15,0.9724112334526853,0.0012286599806991946,0.0018369549055585995,0.0013715549490993396,1,0,1,0
352,2026-05-22 12:25:00,76627.59,76714.59,76749.4,76625.34,404,1779452999.758,BTCUSD_otc,0.0011353612974125404,-0.0022637931606289685,-0.0014389820832086953,-0.006199771301010237,0.0016171630455171263,0.7012735773007537,0.28059003707859315,0.018136385619847078,37.53561710684094,37.85223083573211,37.4895515189383,-159.61007928012987,-149.4316135769536,-10.178465703176272,76777.98749894672,-0.0008257249377315854,-188.08089167645085,76870.20258463275,-0.0020243550738847332,-147.17220607293712,76949.78283105773,-0.003056445676709678,-132.33519528906618,77261.7134444111,-0.007081430375016886,-116.10782522396767,77654.49029998346,-0.012103618172659142,-96.28863587211526,78094.75317849082,-0.017672930924518937,-69.47122167472844,77219.1870873328,76642.53491266721,0.007516851418557964,0.12495415867383398,177.22277080907352,0.0023101573091777396,39.03185754011984,11.677571907994247,27.910263348451895,403.3,1.0017356806345148,0.0014090598144788137,0.001860143748938565,0.0014023417497027926,0,1,0,0
352,2026-05-22 12:30:00,76714.59,76625.59,76799.51,76597.55,409,1779453299.66,BTCUSD_otc,-0.0011601443741015016,-0.002260830253223989,-0.004955898296822303,-0.006599499265180997,0.002635673017330005,0.4406813230340638,0.42047930283204416,0.13883937413339695,34.97094232235369,32.904244232408104,35.74269819800101,-165.3936184978811,-152.6240145611391,-12.769603936742016,76739.88812421003,-0.0014894226067287805,-184.46816875734658,76837.58757334837,-0.00275903473864276,-150.69991192989983,76920.31075550702,-0.003831507603288248,-136.0892684446153,77236.7674269832,-0.007913037369941641,-118.36359678383451,77634.11603661744,-0.01299075829164796,-97.82014803306083,78080.13463940135,-0.018628869508472305,-70.50762742922234,77206.86084139354,76603.95615860647,0.00786818976254639,0.03588268927273646,178.98971575128198,0.002335900000917213,38.648205758551505,12.73613134901605,25.660829750567665,403.35,1.0140076856325737,0.0014086863513761338,0.0016538625549910389,0.0014119502946774527,0,0,1,0
352,2026-05-22 12:35:00,76625.59,76626.92,76788.47,76605.76,390,1779453599.681,BTCUSD_otc,1.7357125733141743e-05,-0.003095044000623548,-0.007432444597983756,-0.005125826844687431,0.00238441007416201,0.007279295057747095,0.8841880575770831,0.10853264736462262,35.042369786500814,33.05680816495608,35.78964458796828,-167.9339569904405,-155.6860030469994,-12.247953943441104,76711.64609315753,-0.0011044749718268213,-197.82612656800484,76809.49856356859,-0.002377031057135274,-162.32659033924574,76893.63886864274,-0.0034686727350538736,-145.34478949510958,77212.85184161131,-0.0075885273971390945,-123.05129887076328,77614.17156064481,-0.012719990960328845,-100.59400648785231,78065.67479224312,-0.018430056437379126,-72.17322317621438,77205.23123195049,76566.10576804951,0.008340743225761537,0.0951522594316433,179.25545034047656,0.0023393273583288557,38.29195767566663,11.808875807637076,23.792590021363345,402.2,0.9696668324214397,0.0012561950375315205,0.0012999980599124963,0.0013879899791583894,1,0,1,0
352,2026-05-22 12:40:00,76626.92,76689.35,76694.39,76577.23,391,1779453899.585,BTCUSD_otc,0.000814726730501647,-9.674462170961018e-05,-0.004863480619717309,-0.005114964098084096,0.0015277219066272367,0.532861044724756,0.043018094912846916,0.4241208603615435,38.45937805297157,40.469634992157346,38.021429141495716,-163.03030245337868,-157.15486292827526,-5.875439525103417,76706.07206986815,-0.00021800190541522118,-150.22459492599592,76793.47875509279,-0.0013559583024603547,-141.67237829400983,76875.06715331158,-0.002415830778283436,-132.806172268276,77192.32235762656,-0.00651583398794919,-118.51673813072557,77595.85826241421,-0.011682431030643063,-98.74897665642493,78051.98001819095,-0.017457981435876055,-71.52891249785898,77182.871227327,76549.03777267298,0.008264947540356362,0.22137081325818195,174.82006103044276,0.0022795872051392108,38.11869084687029,11.243589311638095,23.819335951712304,402.25,0.9720323182098267,0.0010137628380794028,0.0013302769733782006,0.0013884312019076283,1,0,0,0
