symbol_id,timestamp,open,close,high,low,volume,last_tick,asset
76,2026-05-21 20:10:00,1.57039,1.56981,1.57142,1.56975,392,1779394499.513,EURCAD_otc
76,2026-05-21 20:15:00,1.56988,1.57081,1.57144,1.56985,411,1779394799.924,EURCAD_otc
76,2026-05-21 20:20:00,1.57081,1.57084,1.57164,1.57069,393,1779395099.898,EURCAD_otc
76,2026-05-21 20:25:00,1.57084,1.5707,1.57095,1.56994,386,1779395398.741,EURCAD_otc
76,2026-05-21 20:30:00,1.57073,1.5711,1.57143,1.57054,396,1779395699.722,EURCAD_otc
76,2026-05-21 20:35:00,1.5711,1.56997,1.57139,1.56939,405,1779395999.644,EURCAD_otc
76,2026-05-21 20:40:00,1.56997,1.56939,1.57026,1.56931,401,1779396299.582,EURCAD_otc
76,2026-05-21 20:45:00,1.56939,1.56888,1.5695,1.56828,414,1779396599.99,EURCAD_otc
76,2026-05-21 20:50:00,1.56888,1.57,1.57051,1.56862,394,1779396898.833,EURCAD_otc
76,2026-05-21 20:55:00,1.57,1.57115,1.57119,1.56973,389,1779397199.83,EURCAD_otc
76,2026-05-21 21:00:00,1.57115,1.57067,1.57122,1.57026,395,1779397499.727,EURCAD_otc
76,2026-05-21 21:05:00,1.57069,1.57142,1.57146,1.57031,406,1779397799.716,EURCAD_otc
76,2026-05-21 21:10:00,1.57145,1.56991,1.5719,1.56991,423,1779398099.577,EURCAD_otc
76,2026-05-21 21:15:00,1.56991,1.56904,1.57034,1.56884,407,1779398399.553,EURCAD_otc
76,2026-05-21 21:20:00,1.56901,1.56919,1.57019,1.56872,407,1779398699.897,EURCAD_otc
76,2026-05-21 21:25:00,1.56919,1.56886,1.56967,1.5685,393,1779398999.753,EURCAD_otc
76,2026-05-21 21:30:00,1.56886,1.56702,1.56902,1.56686,414,1779399299.693,EURCAD_otc
76,2026-05-21 21:35:00,1.56702,1.56777,1.56804,1.56702,403,1779399599.621,EURCAD_otc
76,2026-05-21 21:40:00,1.56774,1.56818,1.56856,1.56733,400,1779399899.623,EURCAD_otc
76,2026-05-21 21:45:00,1.56818,1.56758,1.56892,1.56739,414,1779400199.013,EURCAD_otc
76,2026-05-21 21:50:00,1.56761,1.56858,1.56858,1.56713,409,1779400499.985,EURCAD_otc
76,2026-05-21 21:55:00,1.56858,1.56739,1.56872,1.56677,391,1779400799.777,EURCAD_otc
