symbol_id,timestamp,open,close,high,low,volume,last_tick,asset
56,2026-05-21 20:15:00,1.3436,1.34349,1.34363,1.3434,428,1779394799.026,GBPUSD
56,2026-05-21 20:20:00,1.34349,1.34347,1.34362,1.34347,406,1779395099.007,GBPUSD
56,2026-05-21 20:25:00,1.34347,1.3436,1.34369,1.34347,480,1779395399.804,GBPUSD
56,2026-05-21 20:30:00,1.3436,1.34341,1.34362,1.34341,679,1779395699.995,GBPUSD
56,2026-05-21 20:35:00,1.34341,1.3434,1.34343,1.34337,511,1779395998.093,GBPUSD
56,2026-05-21 20:40:00,1.3434,1.34335,1.34349,1.34329,530,1779396299.833,GBPUSD
56,2026-05-21 20:45:00,1.34334,1.34332,1.34342,1.34332,429,1779396599.024,GBPUSD
56,2026-05-21 20:50:00,1.34332,1.3434,1.34349,1.34323,444,1779396899.007,GBPUSD
56,2026-05-21 20:55:00,1.3434,1.34318,1.3434,1.34277,720,1779397199.192,GBPUSD
56,2026-05-21 21:00:00,1.34318,1.34289,1.34318,1.34265,289,1779397499.001,GBPUSD
56,2026-05-21 21:05:00,1.34289,1.34298,1.34328,1.34271,352,1779397799.007,GBPUSD
56,2026-05-21 21:10:00,1.34298,1.34339,1.34345,1.34285,311,1779398099.04,GBPUSD
56,2026-05-21 21:15:00,1.34339,1.34333,1.34343,1.34333,287,1779398399.01,GBPUSD
56,2026-05-21 21:20:00,1.34333,1.34339,1.34356,1.34329,358,1779398699.093,GBPUSD
56,2026-05-21 21:25:00,1.34339,1.3434,1.34342,1.34339,311,1779398999.04,GBPUSD
56,2026-05-21 21:30:00,1.3434,1.34362,1.34364,1.34338,365,1779399299.019,GBPUSD
56,2026-05-21 21:35:00,1.34362,1.34308,1.34363,1.34308,503,1779399599.033,GBPUSD
56,2026-05-21 21:40:00,1.34308,1.34329,1.34332,1.3428,638,1779399899.017,GBPUSD
56,2026-05-21 21:45:00,1.34329,1.34346,1.34366,1.34319,416,1779400199.009,GBPUSD
56,2026-05-21 21:50:00,1.34346,1.34316,1.34364,1.34291,871,1779400499.497,GBPUSD
56,2026-05-21 21:55:00,1.34316,1.34298,1.34336,1.34281,876,1779400799.093,GBPUSD
56,2026-05-21 22:00:00,1.34298,1.34342,1.34345,1.34297,367,1779401099.092,GBPUSD
56,2026-05-21 22:05:00,1.34342,1.34308,1.34342,1.34307,374,1779401399.035,GBPUSD
56,2026-05-21 22:10:00,1.34308,1.34306,1.34308,1.3429,349,1779401699.002,GBPUSD
56,2026-05-21 22:15:00,1.34306,1.34309,1.34318,1.34303,340,1779401999.04,GBPUSD
56,2026-05-21 22:20:00,1.34309,1.34311,1.34315,1.34308,320,1779402299.492,GBPUSD
56,2026-05-21 22:25:00,1.34311,1.34309,1.34311,1.34304,367,1779402599.01,GBPUSD
56,2026-05-21 22:30:00,1.34309,1.34309,1.34313,1.34305,354,1779402899.093,GBPUSD
56,2026-05-21 22:35:00,1.34309,1.34302,1.34312,1.34302,356,1779403199.093,GBPUSD
56,2026-05-21 22:40:00,1.34302,1.34332,1.34333,1.34301,384,1779403499.029,GBPUSD
56,2026-05-21 22:45:00,1.34332,1.34329,1.34341,1.34327,361,1779403799.004,GBPUSD
56,2026-05-21 22:50:00,1.34329,1.34327,1.34339,1.34327,342,1779404099.037,GBPUSD
56,2026-05-21 22:55:00,1.34328,1.34327,1.34332,1.34321,357,1779404399.033,GBPUSD
56,2026-05-21 23:00:00,1.34327,1.34334,1.3434,1.34325,387,1779404699.042,GBPUSD
56,2026-05-21 23:05:00,1.34334,1.34322,1.34334,1.34321,313,1779404999.005,GBPUSD
56,2026-05-21 23:10:00,1.34322,1.34332,1.34333,1.34321,361,1779405299.016,GBPUSD
56,2026-05-21 23:15:00,1.34332,1.34322,1.34332,1.3432,355,1779405599.034,GBPUSD
56,2026-05-21 23:20:00,1.34322,1.34312,1.34322,1.34311,316,1779405899.034,GBPUSD
56,2026-05-21 23:25:00,1.34311,1.34322,1.34323,1.3431,357,1779406199.043,GBPUSD
56,2026-05-21 23:30:00,1.34322,1.34322,1.34323,1.34311,343,1779406499.021,GBPUSD
56,2026-05-21 23:35:00,1.34322,1.34322,1.34322,1.34319,302,1779406799.037,GBPUSD
56,2026-05-21 23:40:00,1.34322,1.34313,1.34322,1.3431,410,1779407099.003,GBPUSD
56,2026-05-21 23:45:00,1.34313,1.34329,1.34332,1.34312,412,1779407399.032,GBPUSD
56,2026-05-21 23:50:00,1.34329,1.34316,1.3434,1.34315,430,1779407698.047,GBPUSD
56,2026-05-21 23:55:00,1.34316,1.34322,1.34323,1.34311,420,1779407999.013,GBPUSD
56,2026-05-22 00:00:00,1.34322,1.34286,1.34326,1.34282,749,1779408299.592,GBPUSD
56,2026-05-22 00:05:00,1.34286,1.34295,1.3431,1.34286,839,1779408599.891,GBPUSD
56,2026-05-22 00:10:00,1.34295,1.34275,1.34296,1.34272,629,1779408899.841,GBPUSD
56,2026-05-22 00:15:00,1.34275,1.34268,1.34289,1.34268,782,1779409199.003,GBPUSD
56,2026-05-22 00:20:00,1.34268,1.34272,1.34288,1.34261,715,1779409499.71,GBPUSD
56,2026-05-22 00:25:00,1.34272,1.34271,1.34275,1.34258,610,1779409799.093,GBPUSD
56,2026-05-22 00:30:00,1.34271,1.34266,1.34282,1.34265,596,1779410099.037,GBPUSD
56,2026-05-22 00:35:00,1.34266,1.34252,1.34266,1.34246,585,1779410399.01,GBPUSD
56,2026-05-22 00:40:00,1.34252,1.34265,1.34266,1.34252,501,1779410699.022,GBPUSD
56,2026-05-22 00:45:00,1.34265,1.34269,1.34277,1.34261,538,1779410999.038,GBPUSD
56,2026-05-22 00:50:00,1.34269,1.34269,1.34286,1.34268,592,1779411299.625,GBPUSD
56,2026-05-22 00:55:00,1.34269,1.34255,1.34272,1.34255,567,1779411599.237,GBPUSD
56,2026-05-22 01:00:00,1.34255,1.34249,1.34269,1.34238,704,1779411899.016,GBPUSD
56,2026-05-22 01:05:00,1.34249,1.34249,1.34265,1.34238,652,1779412199.837,GBPUSD
56,2026-05-22 01:10:00,1.34249,1.34262,1.34265,1.34245,587,1779412499.038,GBPUSD
56,2026-05-22 01:15:00,1.34262,1.34272,1.34272,1.34252,667,1779412799.013,GBPUSD
56,2026-05-22 01:20:00,1.34272,1.3425,1.34285,1.3425,568,1779413099.093,GBPUSD
56,2026-05-22 01:25:00,1.3425,1.34272,1.34276,1.34248,552,1779413399.027,GBPUSD
56,2026-05-22 01:30:00,1.34272,1.34272,1.34279,1.34262,596,1779413699.029,GBPUSD
56,2026-05-22 01:35:00,1.34272,1.34269,1.34277,1.34251,658,1779413999.025,GBPUSD
56,2026-05-22 01:40:00,1.34269,1.34281,1.34301,1.34262,618,1779414299.737,GBPUSD
56,2026-05-22 01:45:00,1.34281,1.34292,1.34293,1.34281,543,1779414599.094,GBPUSD
56,2026-05-22 01:50:00,1.34292,1.34288,1.34308,1.34282,560,1779414899.797,GBPUSD
56,2026-05-22 01:55:00,1.34287,1.34252,1.34287,1.34251,555,1779415199.011,GBPUSD
56,2026-05-22 02:00:00,1.34252,1.34269,1.34274,1.34246,585,1779415499.004,GBPUSD
56,2026-05-22 02:05:00,1.34269,1.34259,1.34271,1.34254,522,1779415799.02,GBPUSD
56,2026-05-22 02:10:00,1.34259,1.34265,1.34269,1.34252,442,1779416099.199,GBPUSD
56,2026-05-22 02:15:00,1.34265,1.34266,1.34278,1.3426,552,1779416399.045,GBPUSD
56,2026-05-22 02:20:00,1.34266,1.34266,1.34274,1.34259,499,1779416699.095,GBPUSD
56,2026-05-22 02:25:00,1.34266,1.34272,1.34273,1.34262,438,1779416999.034,GBPUSD
56,2026-05-22 02:30:00,1.34272,1.34282,1.34284,1.34267,567,1779417299.194,GBPUSD
56,2026-05-22 02:35:00,1.34282,1.34293,1.34302,1.34278,447,1779417599.093,GBPUSD
56,2026-05-22 02:40:00,1.34293,1.34295,1.34306,1.34291,495,1779417899.893,GBPUSD
56,2026-05-22 02:45:00,1.34296,1.34289,1.34299,1.34281,524,1779418199.302,GBPUSD
56,2026-05-22 02:50:00,1.34289,1.34261,1.34296,1.34261,480,1779418499.025,GBPUSD
56,2026-05-22 02:55:00,1.34261,1.34272,1.34274,1.34247,515,1779418799.004,GBPUSD
56,2026-05-22 03:00:00,1.34272,1.34257,1.34285,1.34253,554,1779419099.493,GBPUSD
56,2026-05-22 03:05:00,1.34257,1.3424,1.34258,1.34235,471,1779419399.042,GBPUSD
56,2026-05-22 03:10:00,1.3424,1.3424,1.34248,1.34235,477,1779419699.093,GBPUSD
56,2026-05-22 03:15:00,1.3424,1.34242,1.34247,1.34231,511,1779419999.092,GBPUSD
56,2026-05-22 03:20:00,1.34242,1.34247,1.34253,1.34241,464,1779420299.132,GBPUSD
56,2026-05-22 03:25:00,1.34247,1.34251,1.34261,1.34242,423,1779420599.021,GBPUSD
56,2026-05-22 03:30:00,1.34251,1.34248,1.34263,1.34245,469,1779420899.027,GBPUSD
56,2026-05-22 03:35:00,1.34248,1.34261,1.34268,1.34241,443,1779421199.02,GBPUSD
56,2026-05-22 03:40:00,1.3426,1.34262,1.34268,1.3426,407,1779421499.001,GBPUSD
56,2026-05-22 03:45:00,1.34262,1.34266,1.34272,1.3426,442,1779421799.092,GBPUSD
56,2026-05-22 03:50:00,1.34266,1.3426,1.34268,1.34252,392,1779422099.093,GBPUSD
56,2026-05-22 03:55:00,1.3426,1.34263,1.34269,1.34259,405,1779422399.093,GBPUSD
56,2026-05-22 04:00:00,1.34263,1.34265,1.3427,1.34255,450,1779422699.012,GBPUSD
56,2026-05-22 04:05:00,1.34265,1.3429,1.34294,1.34262,449,1779422999.03,GBPUSD
56,2026-05-22 04:10:00,1.3429,1.34299,1.34301,1.34289,450,1779423299.095,GBPUSD
56,2026-05-22 04:15:00,1.34299,1.34302,1.34312,1.34291,483,1779423599.009,GBPUSD
56,2026-05-22 04:20:00,1.34302,1.34296,1.34304,1.34293,515,1779423899.04,GBPUSD
56,2026-05-22 04:25:00,1.34297,1.34293,1.34299,1.34291,450,1779424199.092,GBPUSD
56,2026-05-22 04:30:00,1.34293,1.34288,1.34293,1.34285,526,1779424499.393,GBPUSD
56,2026-05-22 04:35:00,1.34288,1.34288,1.34291,1.34279,449,1779424799.092,GBPUSD
56,2026-05-22 04:40:00,1.34288,1.34299,1.34301,1.34287,410,1779425099.028,GBPUSD
