symbol_id,timestamp,open,close,high,low,volume,last_tick,asset
90,2026-05-05 20:15:00,0.58942,0.5891,0.58952,0.58806,1183,1778012999.403,NZDUSD_otc
90,2026-05-05 20:30:00,0.5891,0.58846,0.58967,0.58843,1227,1778013899.893,NZDUSD_otc
90,2026-05-05 20:45:00,0.58847,0.58719,0.58859,0.5871,1198,1778014799.177,NZDUSD_otc
90,2026-05-05 21:00:00,0.58716,0.58735,0.5875,0.58646,1225,1778015699.57,NZDUSD_otc
90,2026-05-05 21:15:00,0.58731,0.58628,0.58759,0.58571,1206,1778016598.998,NZDUSD_otc
90,2026-05-05 21:30:00,0.58628,0.58724,0.58734,0.58626,1245,1778017499.948,NZDUSD_otc
90,2026-05-05 21:45:00,0.58722,0.58663,0.58765,0.58616,1181,1778018399.745,NZDUSD_otc
90,2026-05-05 22:00:00,0.58663,0.58925,0.58936,0.58638,1193,1778019299.622,NZDUSD_otc
90,2026-05-05 22:15:00,0.58925,0.58974,0.58976,0.58861,1182,1778020199.538,NZDUSD_otc
90,2026-05-05 22:30:00,0.58974,0.5896,0.59059,0.58929,1218,1778021099.885,NZDUSD_otc
90,2026-05-05 22:45:00,0.5896,0.5888,0.5904,0.5888,1200,1778021999.763,NZDUSD_otc
90,2026-05-05 23:00:00,0.5888,0.58854,0.58889,0.58752,1212,1778022899.125,NZDUSD_otc
90,2026-05-05 23:15:00,0.58853,0.59249,0.59253,0.58842,1202,1778023798.512,NZDUSD_otc
90,2026-05-05 23:30:00,0.59247,0.59146,0.59282,0.59146,1242,1778024699.943,NZDUSD_otc
90,2026-05-05 23:45:00,0.59146,0.59155,0.59171,0.59079,1186,1778025599.782,NZDUSD_otc
90,2026-05-06 00:00:00,0.5915,0.59239,0.59258,0.59131,1179,1778026499.739,NZDUSD_otc
90,2026-05-06 00:15:00,0.59239,0.59351,0.59377,0.59227,1200,1778027399.636,NZDUSD_otc
90,2026-05-06 00:30:00,0.59351,0.59242,0.59375,0.59231,1199,1778028299.601,NZDUSD_otc
90,2026-05-06 00:45:00,0.5924,0.59196,0.59272,0.59152,1210,1778029199.021,NZDUSD_otc
90,2026-05-06 01:00:00,0.59197,0.59177,0.59254,0.59144,1184,1778030099.909,NZDUSD_otc
90,2026-05-06 01:15:00,0.59177,0.5913,0.5919,0.5908,1200,1778030999.867,NZDUSD_otc
90,2026-05-06 01:30:00,0.5913,0.59267,0.59285,0.59127,1198,1778031899.795,NZDUSD_otc
90,2026-05-06 01:45:00,0.59267,0.59285,0.5933,0.59237,1221,1778032799.634,NZDUSD_otc
90,2026-05-06 02:00:00,0.59285,0.59307,0.59371,0.59275,1222,1778033699.505,NZDUSD_otc
90,2026-05-06 02:15:00,0.59307,0.59191,0.59335,0.59191,1193,1778034599.871,NZDUSD_otc
90,2026-05-06 02:30:00,0.59193,0.5925,0.593,0.59117,1172,1778035499.22,NZDUSD_otc
90,2026-05-06 02:45:00,0.59249,0.5923,0.59315,0.59164,1206,1778036399.646,NZDUSD_otc
90,2026-05-06 03:00:00,0.59232,0.59317,0.59341,0.5921,1151,1778037299.594,NZDUSD_otc
90,2026-05-06 03:15:00,0.59319,0.59338,0.59363,0.59258,1168,1778038199.931,NZDUSD_otc
90,2026-05-06 03:30:00,0.59338,0.59388,0.59437,0.59322,1205,1778039098.862,NZDUSD_otc
90,2026-05-06 03:45:00,0.59388,0.5933,0.59444,0.59304,1208,1778039998.737,NZDUSD_otc
90,2026-05-06 04:00:00,0.5933,0.59344,0.59358,0.59246,1199,1778040899.734,NZDUSD_otc
90,2026-05-06 04:15:00,0.59344,0.59242,0.59352,0.59194,1191,1778041799.628,NZDUSD_otc
90,2026-05-06 04:30:00,0.59242,0.59184,0.59242,0.59102,1213,1778042699.639,NZDUSD_otc
90,2026-05-06 04:45:00,0.59183,0.59052,0.59184,0.59052,1163,1778043599.52,NZDUSD_otc
90,2026-05-06 05:00:00,0.59052,0.58966,0.59105,0.58927,1203,1778044499.97,NZDUSD_otc
90,2026-05-06 05:15:00,0.58966,0.58928,0.59042,0.58908,1201,1778045399.948,NZDUSD_otc
90,2026-05-06 05:30:00,0.58928,0.58986,0.59039,0.58906,1171,1778046299.79,NZDUSD_otc
90,2026-05-06 05:45:00,0.58986,0.58908,0.59055,0.58906,1174,1778047199.274,NZDUSD_otc
90,2026-05-06 06:00:00,0.58908,0.58996,0.59023,0.58908,1172,1778048099.775,NZDUSD_otc
90,2026-05-06 06:15:00,0.58996,0.5917,0.59217,0.58963,1198,1778048999.203,NZDUSD_otc
90,2026-05-06 06:30:00,0.59168,0.59328,0.59358,0.59109,1169,1778049899.778,NZDUSD_otc
90,2026-05-06 06:45:00,0.59326,0.59295,0.59459,0.59243,1193,1778050799.71,NZDUSD_otc
90,2026-05-06 07:00:00,0.59297,0.59279,0.59371,0.59244,1194,1778051699.677,NZDUSD_otc
90,2026-05-06 07:15:00,0.59277,0.59498,0.59522,0.5926,1212,1778052599.674,NZDUSD_otc
90,2026-05-06 07:30:00,0.59499,0.59545,0.59566,0.59488,1187,1778053499.67,NZDUSD_otc
90,2026-05-06 07:45:00,0.59545,0.5957,0.59646,0.59511,1190,1778054399.58,NZDUSD_otc
90,2026-05-06 08:00:00,0.5957,0.5959,0.59637,0.59512,1181,1778055299.52,NZDUSD_otc
90,2026-05-06 08:15:00,0.59589,0.59624,0.59672,0.59568,1209,1778056199.908,NZDUSD_otc
90,2026-05-06 08:30:00,0.59624,0.5959,0.59646,0.59536,1180,1778057099.438,NZDUSD_otc
90,2026-05-06 08:45:00,0.5959,0.59453,0.59647,0.59422,1198,1778057999.933,NZDUSD_otc
90,2026-05-06 09:00:00,0.59458,0.59519,0.59542,0.59427,1220,1778058899.82,NZDUSD_otc
90,2026-05-06 09:15:00,0.59521,0.59389,0.59529,0.59376,1196,1778059799.77,NZDUSD_otc
90,2026-05-06 09:30:00,0.59389,0.59389,0.59431,0.59278,1200,1778060699.692,NZDUSD_otc
90,2026-05-06 09:45:00,0.59389,0.59409,0.59476,0.5936,1169,1778061599.728,NZDUSD_otc
90,2026-05-06 10:00:00,0.59409,0.59618,0.59635,0.59391,1170,1778062499.623,NZDUSD_otc
