symbol_id,timestamp,open,close,high,low,volume,last_tick,asset
63,2026-06-01 22:41:00,159.654,159.647,159.654,159.644,58,1780353718.02,USDJPY
63,2026-06-01 22:42:00,159.647,159.649,159.649,159.647,52,1780353778.041,USDJPY
63,2026-06-01 22:43:00,159.649,159.647,159.649,159.647,57,1780353839.017,USDJPY
63,2026-06-01 22:44:00,159.647,159.654,159.656,159.647,63,1780353898.041,USDJPY
63,2026-06-01 22:45:00,159.654,159.656,159.656,159.647,67,1780353959.02,USDJPY
63,2026-06-01 22:46:00,159.656,159.654,159.656,159.651,68,1780354018.045,USDJPY
63,2026-06-01 22:47:00,159.654,159.651,159.654,159.649,75,1780354079.027,USDJPY
63,2026-06-01 22:48:00,159.651,159.644,159.654,159.642,80,1780354139.107,USDJPY
63,2026-06-01 22:49:00,159.644,159.645,159.654,159.644,66,1780354199.02,USDJPY
63,2026-06-01 22:50:00,159.645,159.642,159.645,159.639,73,1780354259.008,USDJPY
63,2026-06-01 22:51:00,159.642,159.644,159.647,159.639,70,1780354319.034,USDJPY
63,2026-06-01 22:52:00,159.644,159.647,159.647,159.642,63,1780354379.044,USDJPY
63,2026-06-01 22:53:00,159.647,159.642,159.647,159.64,68,1780354439.021,USDJPY
63,2026-06-01 22:54:00,159.642,159.644,159.645,159.642,73,1780354499.094,USDJPY
63,2026-06-01 22:55:00,159.644,159.644,159.647,159.642,67,1780354559.592,USDJPY
63,2026-06-01 22:56:00,159.644,159.644,159.644,159.642,67,1780354619.093,USDJPY
63,2026-06-01 22:57:00,159.644,159.642,159.645,159.642,63,1780354679.028,USDJPY
63,2026-06-01 22:58:00,159.642,159.659,159.659,159.642,78,1780354739.004,USDJPY
63,2026-06-01 22:59:00,159.659,159.661,159.661,159.656,54,1780354799.899,USDJPY
63,2026-06-01 23:00:00,159.661,159.655,159.661,159.642,99,1780354859.031,USDJPY
63,2026-06-01 23:01:00,159.655,159.655,159.655,159.653,70,1780354919.414,USDJPY
63,2026-06-01 23:02:00,159.655,159.654,159.655,159.654,67,1780354979.005,USDJPY
63,2026-06-01 23:03:00,159.654,159.645,159.655,159.643,77,1780355039.029,USDJPY
63,2026-06-01 23:04:00,159.645,159.656,159.659,159.645,71,1780355099.094,USDJPY
63,2026-06-01 23:05:00,159.656,159.658,159.659,159.656,79,1780355159.032,USDJPY
63,2026-06-01 23:06:00,159.658,159.655,159.658,159.646,85,1780355219.093,USDJPY
63,2026-06-01 23:07:00,159.655,159.655,159.656,159.649,79,1780355279.006,USDJPY
63,2026-06-01 23:08:00,159.655,159.659,159.66,159.655,77,1780355339.193,USDJPY
63,2026-06-01 23:09:00,159.659,159.657,159.659,159.657,68,1780355399.092,USDJPY
63,2026-06-01 23:10:00,159.657,159.656,159.658,159.644,83,1780355459.093,USDJPY
63,2026-06-01 23:11:00,159.656,159.656,159.658,159.655,69,1780355519.021,USDJPY
63,2026-06-01 23:12:00,159.656,159.656,159.656,159.654,68,1780355579.003,USDJPY
63,2026-06-01 23:13:00,159.656,159.654,159.656,159.654,68,1780355639.094,USDJPY
63,2026-06-01 23:14:00,159.654,159.655,159.656,159.647,68,1780355699.294,USDJPY
63,2026-06-01 23:15:00,159.656,159.652,159.656,159.646,80,1780355759.193,USDJPY
63,2026-06-01 23:16:00,159.653,159.647,159.653,159.646,82,1780355819.015,USDJPY
63,2026-06-01 23:17:00,159.647,159.643,159.647,159.642,65,1780355879.092,USDJPY
63,2026-06-01 23:18:00,159.643,159.644,159.644,159.642,64,1780355939.092,USDJPY
63,2026-06-01 23:19:00,159.644,159.647,159.647,159.644,65,1780355999.016,USDJPY
63,2026-06-01 23:20:00,159.647,159.647,159.649,159.645,63,1780356059.009,USDJPY
63,2026-06-01 23:21:00,159.647,159.647,159.647,159.645,66,1780356119.039,USDJPY
63,2026-06-01 23:22:00,159.647,159.654,159.656,159.647,66,1780356179.009,USDJPY
63,2026-06-01 23:23:00,159.654,159.647,159.654,159.647,79,1780356239.094,USDJPY
63,2026-06-01 23:24:00,159.647,159.647,159.649,159.647,61,1780356299.021,USDJPY
63,2026-06-01 23:25:00,159.647,159.647,159.647,159.647,60,1780356359.0,USDJPY
63,2026-06-01 23:26:00,159.647,159.647,159.647,159.645,65,1780356419.033,USDJPY
63,2026-06-01 23:27:00,159.647,159.645,159.647,159.644,68,1780356479.893,USDJPY
63,2026-06-01 23:28:00,159.645,159.647,159.647,159.645,61,1780356539.036,USDJPY
63,2026-06-01 23:29:00,159.647,159.649,159.649,159.647,53,1780356599.003,USDJPY
63,2026-06-01 23:30:00,159.649,159.647,159.649,159.642,61,1780356659.036,USDJPY
63,2026-06-01 23:31:00,159.647,159.647,159.647,159.645,58,1780356719.006,USDJPY
63,2026-06-01 23:32:00,159.647,159.644,159.647,159.644,60,1780356779.017,USDJPY
63,2026-06-01 23:33:00,159.644,159.644,159.645,159.644,58,1780356839.037,USDJPY
63,2026-06-01 23:34:00,159.644,159.647,159.647,159.644,65,1780356899.021,USDJPY
63,2026-06-01 23:35:00,159.647,159.647,159.649,159.645,66,1780356959.095,USDJPY
63,2026-06-01 23:36:00,159.647,159.649,159.649,159.647,61,1780357019.01,USDJPY
63,2026-06-01 23:37:00,159.649,159.657,159.658,159.645,71,1780357079.033,USDJPY
63,2026-06-01 23:38:00,159.657,159.632,159.657,159.632,89,1780357139.008,USDJPY
63,2026-06-01 23:39:00,159.632,159.629,159.633,159.621,119,1780357199.029,USDJPY
63,2026-06-01 23:40:00,159.629,159.627,159.629,159.622,75,1780357259.042,USDJPY
63,2026-06-01 23:41:00,159.627,159.623,159.629,159.621,78,1780357319.892,USDJPY
63,2026-06-01 23:42:00,159.623,159.633,159.633,159.623,85,1780357379.039,USDJPY
63,2026-06-01 23:43:00,159.633,159.632,159.633,159.627,73,1780357439.024,USDJPY
63,2026-06-01 23:44:00,159.631,159.631,159.633,159.631,67,1780357498.094,USDJPY
63,2026-06-01 23:45:00,159.631,159.632,159.637,159.629,78,1780357558.019,USDJPY
63,2026-06-01 23:46:00,159.632,159.632,159.633,159.629,66,1780357619.399,USDJPY
63,2026-06-01 23:47:00,159.632,159.632,159.633,159.629,60,1780357678.092,USDJPY
63,2026-06-01 23:48:00,159.632,159.635,159.635,159.632,57,1780357739.005,USDJPY
63,2026-06-01 23:49:00,159.635,159.635,159.637,159.633,71,1780357798.492,USDJPY
63,2026-06-01 23:50:00,159.635,159.647,159.647,159.632,81,1780357859.291,USDJPY
63,2026-06-01 23:51:00,159.647,159.644,159.647,159.644,62,1780357919.304,USDJPY
63,2026-06-01 23:52:00,159.644,159.644,159.647,159.642,66,1780357979.63,USDJPY
63,2026-06-01 23:53:00,159.644,159.644,159.649,159.644,76,1780358039.003,USDJPY
63,2026-06-01 23:54:00,159.644,159.652,159.655,159.644,74,1780358099.007,USDJPY
63,2026-06-01 23:55:00,159.652,159.644,159.652,159.644,69,1780358159.029,USDJPY
63,2026-06-01 23:56:00,159.644,159.644,159.644,159.644,60,1780358219.093,USDJPY
63,2026-06-01 23:57:00,159.644,159.644,159.647,159.644,72,1780358279.016,USDJPY
63,2026-06-01 23:58:00,159.644,159.644,159.647,159.642,71,1780358339.0,USDJPY
63,2026-06-01 23:59:00,159.644,159.647,159.651,159.644,72,1780358399.036,USDJPY
63,2026-06-02 00:00:00,159.647,159.654,159.655,159.642,99,1780358459.418,USDJPY
63,2026-06-02 00:01:00,159.654,159.644,159.657,159.644,69,1780358519.0,USDJPY
63,2026-06-02 00:02:00,159.644,159.657,159.66,159.644,81,1780358579.933,USDJPY
63,2026-06-02 00:03:00,159.657,159.646,159.66,159.646,86,1780358639.041,USDJPY
63,2026-06-02 00:04:00,159.646,159.646,159.647,159.638,82,1780358699.894,USDJPY
63,2026-06-02 00:05:00,159.646,159.659,159.659,159.643,97,1780358759.093,USDJPY
63,2026-06-02 00:06:00,159.659,159.662,159.667,159.658,107,1780358819.129,USDJPY
63,2026-06-02 00:07:00,159.662,159.66,159.67,159.659,90,1780358879.036,USDJPY
63,2026-06-02 00:08:00,159.66,159.67,159.673,159.66,120,1780358939.007,USDJPY
63,2026-06-02 00:09:00,159.67,159.673,159.675,159.669,108,1780358999.024,USDJPY
63,2026-06-02 00:10:00,159.673,159.668,159.673,159.667,85,1780359059.016,USDJPY
63,2026-06-02 00:11:00,159.668,159.669,159.67,159.657,82,1780359119.918,USDJPY
63,2026-06-02 00:12:00,159.67,159.658,159.672,159.657,88,1780359179.0,USDJPY
63,2026-06-02 00:13:00,159.658,159.661,159.667,159.658,95,1780359239.032,USDJPY
63,2026-06-02 00:14:00,159.661,159.671,159.671,159.661,71,1780359299.093,USDJPY
63,2026-06-02 00:15:00,159.671,159.673,159.674,159.668,99,1780359359.019,USDJPY
63,2026-06-02 00:16:00,159.673,159.673,159.674,159.668,87,1780359419.097,USDJPY
63,2026-06-02 00:17:00,159.673,159.671,159.673,159.669,87,1780359479.094,USDJPY
63,2026-06-02 00:18:00,159.671,159.673,159.673,159.671,53,1780359539.093,USDJPY
63,2026-06-02 00:19:00,159.673,159.671,159.673,159.669,59,1780359599.095,USDJPY
63,2026-06-02 00:20:00,159.671,159.673,159.681,159.671,81,1780359659.018,USDJPY
63,2026-06-02 00:21:00,159.673,159.669,159.673,159.668,85,1780359719.817,USDJPY
63,2026-06-02 00:22:00,159.669,159.673,159.673,159.668,70,1780359779.033,USDJPY
63,2026-06-02 00:23:00,159.673,159.676,159.68,159.671,79,1780359839.995,USDJPY
63,2026-06-02 00:24:00,159.675,159.683,159.683,159.672,110,1780359899.009,USDJPY
63,2026-06-02 00:25:00,159.683,159.685,159.685,159.681,86,1780359959.03,USDJPY
63,2026-06-02 00:26:00,159.685,159.683,159.685,159.681,93,1780360019.494,USDJPY
63,2026-06-02 00:27:00,159.683,159.681,159.685,159.681,62,1780360079.095,USDJPY
63,2026-06-02 00:28:00,159.681,159.685,159.685,159.68,81,1780360139.008,USDJPY
63,2026-06-02 00:29:00,159.685,159.68,159.685,159.678,74,1780360199.093,USDJPY
63,2026-06-02 00:30:00,159.68,159.685,159.687,159.68,70,1780360259.892,USDJPY
63,2026-06-02 00:31:00,159.685,159.685,159.694,159.685,84,1780360319.036,USDJPY
63,2026-06-02 00:32:00,159.685,159.685,159.687,159.683,78,1780360379.793,USDJPY
63,2026-06-02 00:33:00,159.685,159.678,159.687,159.678,68,1780360439.993,USDJPY
63,2026-06-02 00:34:00,159.678,159.681,159.682,159.671,77,1780360499.02,USDJPY
63,2026-06-02 00:35:00,159.681,159.681,159.684,159.679,75,1780360559.025,USDJPY
63,2026-06-02 00:36:00,159.681,159.685,159.685,159.679,86,1780360619.994,USDJPY
63,2026-06-02 00:37:00,159.685,159.685,159.685,159.683,70,1780360679.092,USDJPY
63,2026-06-02 00:38:00,159.685,159.683,159.685,159.68,80,1780360739.004,USDJPY
63,2026-06-02 00:39:00,159.683,159.695,159.695,159.681,74,1780360799.004,USDJPY
63,2026-06-02 00:40:00,159.695,159.691,159.695,159.685,88,1780360859.014,USDJPY
63,2026-06-02 00:41:00,159.691,159.694,159.696,159.689,93,1780360919.093,USDJPY
63,2026-06-02 00:42:00,159.694,159.686,159.711,159.686,93,1780360979.9,USDJPY
63,2026-06-02 00:43:00,159.686,159.692,159.698,159.678,159,1780361039.718,USDJPY
