symbol_id,timestamp,open,close,high,low,volume,last_tick,asset
93,2026-06-01 18:56:00,157.866,157.852,157.88,157.828,74,1780340219.643,USDJPY_otc
93,2026-06-01 18:57:00,157.849,157.866,157.881,157.84,81,1780340279.694,USDJPY_otc
93,2026-06-01 18:58:00,157.866,157.85,157.886,157.835,75,1780340339.773,USDJPY_otc
93,2026-06-01 18:59:00,157.85,157.808,157.85,157.804,77,1780340399.389,USDJPY_otc
93,2026-06-01 19:00:00,157.818,157.828,157.846,157.812,79,1780340459.471,USDJPY_otc
93,2026-06-01 19:01:00,157.831,157.867,157.867,157.807,77,1780340519.56,USDJPY_otc
93,2026-06-01 19:02:00,157.871,157.892,157.906,157.858,80,1780340579.669,USDJPY_otc
93,2026-06-01 19:03:00,157.892,157.904,157.934,157.892,74,1780340639.778,USDJPY_otc
93,2026-06-01 19:04:00,157.904,157.958,157.964,157.876,85,1780340699.898,USDJPY_otc
93,2026-06-01 19:05:00,157.958,158.023,158.027,157.958,81,1780340759.502,USDJPY_otc
93,2026-06-01 19:06:00,158.013,157.982,158.028,157.982,76,1780340818.56,USDJPY_otc
93,2026-06-01 19:07:00,157.979,157.969,157.996,157.966,82,1780340879.653,USDJPY_otc
93,2026-06-01 19:08:00,157.969,157.898,157.982,157.898,77,1780340939.719,USDJPY_otc
93,2026-06-01 19:09:00,157.902,157.843,157.915,157.82,84,1780340999.286,USDJPY_otc
93,2026-06-01 19:10:00,157.843,157.867,157.867,157.822,87,1780341059.883,USDJPY_otc
93,2026-06-01 19:11:00,157.867,157.866,157.914,157.864,81,1780341119.959,USDJPY_otc
93,2026-06-01 19:12:00,157.866,157.848,157.918,157.848,77,1780341179.538,USDJPY_otc
93,2026-06-01 19:13:00,157.848,157.824,157.869,157.82,82,1780341239.655,USDJPY_otc
93,2026-06-01 19:14:00,157.824,157.873,157.876,157.824,77,1780341299.75,USDJPY_otc
93,2026-06-01 19:15:00,157.873,157.873,157.895,157.845,79,1780341359.368,USDJPY_otc
93,2026-06-01 19:16:00,157.875,157.815,157.889,157.815,77,1780341419.501,USDJPY_otc
93,2026-06-01 19:17:00,157.819,157.822,157.842,157.809,83,1780341479.573,USDJPY_otc
